MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,Fence,MoSold,YrSold,SaleType,SaleCondition
0.19698526892771498,0.775950668036999,65.0,8450,0,0,0,0.09146968139773895,0.8602261048304214,0,0.2987324426173347,0.20554984583761562,0.5635491606714629,2003,2003,0.7913669064748201,0.3511476533059267,0.3473792394655704,0,196.0,0,0,0.44809866392600206,0,0,0,0.2908530318602261,706.0,0.8540596094552929,0.0,150.0,856.0,0,0.9150393970537856,856,854,1710,1.0,0,1,3,0,8,0,0.48646796848235696,0.5902706406303528,2003.0,0,2.0,548.0,0.8920863309352518,0,0,61,0,0,0,2,2008,0.8650222678999657,0.8228845495032545
0.3696471394313121,0.775950668036999,80.0,9600,0,0,1,0.008221993833504625,0.05618362452894827,0,0.5039397053785543,0.25042822884549504,0.04933196300102775,1976,1976,0.7913669064748201,0.15416238437821173,0.15313463514902365,1,0.0,1,0,0.42309009934909214,0,0,1,0.14696813977389517,978.0,0.8540596094552929,0.0,284.0,1262.0,0,0.9150393970537856,1262,0,1262,0.0,0,0,3,1,6,1,0.20280918122644742,0.5902706406303528,1976.0,0,2.0,460.0,0.8920863309352518,0,298,0,0,0,0,5,2007,0.8650222678999657,0.8228845495032545
0.19698526892771498,0.775950668036999,68.0,11250,1,0,0,0.09146968139773895,0.8602261048304214,0,0.2987324426173347,0.20554984583761562,0.5635491606714629,2001,2002,0.7913669064748201,0.3511476533059267,0.3473792394655704,0,162.0,0,0,0.44809866392600206,0,0,2,0.2908530318602261,486.0,0.8540596094552929,0.0,434.0,920.0,0,0.9150393970537856,920,866,1786,1.0,0,1,3,0,6,1,0.20280918122644742,0.5902706406303528,2001.0,0,2.0,608.0,0.8920863309352518,0,0,42,0,0,0,9,2008,0.8650222678999657,0.8228845495032545
0.043850633778691334,0.775950668036999,60.0,9550,1,0,2,0.03528605686879068,0.8602261048304214,0,0.2987324426173347,0.20554984583761562,0.5635491606714629,1915,1970,0.7913669064748201,0.1408016443987667,0.02774922918807811,1,0.0,1,0,0.1065433367591641,1,1,0,0.14696813977389517,216.0,0.8540596094552929,0.0,540.0,756.0,1,0.9150393970537856,961,756,1717,1.0,1,0,3,0,7,1,0.25488180883864336,0.26687221651250426,1998.0,1,3.0,642.0,0.8920863309352518,0,0,35,272,0,0,2,2006,0.8650222678999657,0.06509078451524494
0.19698526892771498,0.775950668036999,84.0,14260,1,0,1,0.024323398424117848,0.8602261048304214,0,0.2987324426173347,0.1171634121274409,0.5635491606714629,2000,2000,0.7913669064748201,0.3511476533059267,0.3473792394655704,0,350.0,0,0,0.44809866392600206,0,0,3,0.2908530318602261,655.0,0.8540596094552929,0.0,490.0,1145.0,0,0.9150393970537856,1145,1053,2198,1.0,0,1,4,0,9,1,0.20280918122644742,0.5902706406303528,2000.0,0,3.0,836.0,0.8920863309352518,0,192,84,0,0,0,12,2008,0.8650222678999657,0.8228845495032545
0.09832134292565947,0.775950668036999,85.0,14115,1,0,0,0.03905447070914697,0.8602261048304214,0,0.10757108598835217,0.28263103802672146,0.5635491606714629,1993,1995,0.7913669064748201,0.3511476533059267,0.3473792394655704,1,0.0,1,0,0.0017129153819801302,0,0,0,0.2908530318602261,732.0,0.8540596094552929,0.0,64.0,796.0,0,0.9150393970537856,796,566,1362,1.0,1,1,1,1,5,0,0.48646796848235696,0.5902706406303528,1993.0,1,2.0,480.0,0.8920863309352518,0,40,30,0,0,1,10,2009,0.8650222678999657,0.8228845495032545
0.3696471394313121,0.775950668036999,75.0,10084,0,0,0,0.06235011990407674,0.8602261048304214,0,0.5039397053785543,0.1171634121274409,0.5635491606714629,2004,2005,0.7913669064748201,0.3511476533059267,0.3473792394655704,2,186.0,0,0,0.44809866392600206,2,0,3,0.2908530318602261,1369.0,0.8540596094552929,0.0,317.0,1686.0,0,0.9150393970537856,1694,0,1694,1.0,0,0,3,0,7,1,0.25488180883864336,0.5902706406303528,2004.0,0,2.0,636.0,0.8920863309352518,0,255,57,0,0,0,8,2007,0.8650222678999657,0.8228845495032545
0.19698526892771498,0.775950668036999,,10382,1,0,2,0.04487838300787941,0.013360739979445015,0,0.2987324426173347,0.20554984583761562,0.18191161356628982,1973,1973,0.7913669064748201,0.1514217197670435,0.13908872901678657,2,240.0,1,0,0.42309009934909214,0,0,2,0.14696813977389517,859.0,0.023295649194929772,32.0,216.0,1107.0,0,0.9150393970537856,1107,983,2090,1.0,0,1,3,1,7,2,0.20280918122644742,0.5902706406303528,1973.0,0,2.0,484.0,0.8920863309352518,0,235,204,228,0,0,11,2009,0.8650222678999657,0.8228845495032545
0.09832134292565947,0.15758821514217197,51.0,6120,0,0,0,0.08187735525865023,0.0315176430284344,0,0.10757108598835217,0.20554984583761562,0.5635491606714629,1931,1950,0.7913669064748201,0.029804727646454265,0.02774922918807811,1,0.0,1,0,0.1065433367591641,1,0,0,0.29153819801301817,0.0,0.8540596094552929,0.0,952.0,952.0,1,0.0171291538198013,1022,752,1774,0.0,0,0,2,1,8,2,0.20280918122644742,0.26687221651250426,1931.0,1,2.0,468.0,0.042480301473107225,0,90,0,205,0,0,4,2008,0.8650222678999657,0.06509078451524494
0.020897567660157587,0.775950668036999,50.0,7420,0,0,2,0.03699897225077081,0.0315176430284344,1,0.006509078451524495,0.28263103802672146,0.18191161356628982,1939,1950,0.7913669064748201,0.15416238437821173,0.15313463514902365,1,0.0,1,0,0.1065433367591641,1,0,0,0.2908530318602261,851.0,0.8540596094552929,0.0,140.0,991.0,0,0.9150393970537856,1077,0,1077,1.0,1,0,2,1,5,2,0.20280918122644742,0.5902706406303528,1939.0,0,1.0,205.0,0.008221993833504625,0,0,4,0,0,0,1,2008,0.8650222678999657,0.8228845495032545
